"Country","ISO","year","value"
"Brunei Darussalam","BRN",2018,0.05
"Bulgaria","BGR",2015,0.375
"Bulgaria","BGR",2016,0.375
"Bulgaria","BGR",2017,0.2
"Bulgaria","BGR",2018,0.9
"Bulgaria","BGR",2019,0.9
"Bulgaria","BGR",2020,0.9
"Bulgaria","BGR",2021,0.9
"Bulgaria","BGR",2022,0.05
"Burkina Faso","BFA",2015,0.25
"Burkina Faso","BFA",2016,0.25
"Burkina Faso","BFA",2017,0.475
"Burkina Faso","BFA",2018,0.525
"Burkina Faso","BFA",2019,0.525
"Burundi","BDI",2015,0.625
"Burundi","BDI",2016,0.625
"Burundi","BDI",2017,0.65
"Burundi","BDI",2018,0.675
"Burundi","BDI",2019,0.775
"Burundi","BDI",2020,0.75
"Burundi","BDI",2021,0.775
"Burundi","BDI",2022,0.75
"Cabo Verde","CPV",2020,0.7
"Cabo Verde","CPV",2021,0.7
"Cambodia","KHM",2019,0.65
"Cameroon","CMR",2017,0
"Cameroon","CMR",2018,0
"Cameroon","CMR",2019,0
"Canada","CAN",2021,0.95
"Chile","CHL",2015,0.5
"Chile","CHL",2016,0.5
"Chile","CHL",2017,0.4
"Chile","CHL",2018,0.5
"Chile","CHL",2019,0.9
"Chile","CHL",2020,0.9
"Chile","CHL",2021,0.9
"China","CHN",2020,1
"Colombia","COL",2015,0.65
"Colombia","COL",2016,0.65
"Colombia","COL",2017,0.65
"Colombia","COL",2018,0.65
"Colombia","COL",2019,1
"Colombia","COL",2020,1
"Colombia","COL",2021,1
"Colombia","COL",2022,1
"Comoros","COM",2017,0.325
"Comoros","COM",2020,0
"Costa Rica","CRI",2015,0.85
"Costa Rica","CRI",2016,0.925
"Costa Rica","CRI",2017,0.925
"Costa Rica","CRI",2018,0.925
"Costa Rica","CRI",2019,0.925
"Costa Rica","CRI",2020,0.925
"Costa Rica","CRI",2021,0.925
"Costa Rica","CRI",2022,1
"Czech Republic","CZE",2015,0.875
"Czech Republic","CZE",2016,0.9
"Czech Republic","CZE",2017,0.925
"C™te d'Ivoire","CIV",2020,0.5
"Denmark","DNK",2017,0
"Denmark","DNK",2019,0
"Ecuador","ECU",2016,0.175
"Ecuador","ECU",2017,0.55
"Ecuador","ECU",2019,0.675
"Ecuador","ECU",2020,0.25
"Ecuador","ECU",2021,0.55
"Egypt","EGY",2015,0.6
"Egypt","EGY",2016,0.45
"Egypt","EGY",2017,0.675
"Egypt","EGY",2018,0.7
"Egypt","EGY",2019,0.725
"Egypt","EGY",2020,0.775
"Egypt","EGY",2021,0.725
"Egypt","EGY",2022,0.825
"Estonia","EST",2015,0.925
"Estonia","EST",2016,0.925
"Estonia","EST",2017,0.925
"Estonia","EST",2018,0.925
"Estonia","EST",2019,0.925
"Eswatini","SWZ",2015,0.25
"Eswatini","SWZ",2016,0.5
"Eswatini","SWZ",2017,0.525
"Eswatini","SWZ",2018,0.525
"Eswatini","SWZ",2019,0.525
"Eswatini","SWZ",2020,0.525
"Eswatini","SWZ",2021,0.525
"Eswatini","SWZ",2022,0.7
"Ethiopia","ETH",2017,0.5
"Ethiopia","ETH",2018,0.75
"Ethiopia","ETH",2019,1
"Fiji","FJI",2015,0
"Fiji","FJI",2016,0
"Fiji","FJI",2017,0
"Fiji","FJI",2018,0
"Fiji","FJI",2019,0.95
"Fiji","FJI",2020,0.975
"Fiji","FJI",2021,0.975
"Fiji","FJI",2022,0.975
"Finland","FIN",2015,0.75
"Finland","FIN",2016,0.75
"Finland","FIN",2017,0.75
"Finland","FIN",2018,0.75
"Finland","FIN",2019,0.75
"France","FRA",2015,0.6
"France","FRA",2016,0.625
"France","FRA",2017,0.65
"France","FRA",2018,0.65
"France","FRA",2019,0.65
"France","FRA",2020,0.65
"France","FRA",2021,0.65
"France","FRA",2022,0.65
"Gambia","GMB",2017,0.45
"Gambia","GMB",2018,0.375
"Gambia","GMB",2020,0.525
"Gambia","GMB",2021,0.05
"Georgia","GEO",2015,0
"Georgia","GEO",2016,0
"Georgia","GEO",2017,0.975
"Georgia","GEO",2018,0.975
"Georgia","GEO",2019,0.1
"Georgia","GEO",2020,0.975
"Georgia","GEO",2021,0.975
"Georgia","GEO",2022,0.975
"Germany","DEU",2015,0.575
"Germany","DEU",2016,0.575
"Germany","DEU",2017,0.575
"Germany","DEU",2018,0.575
"Germany","DEU",2019,0.575
"Ghana","GHA",2018,0.05
"Ghana","GHA",2019,0.6
"Ghana","GHA",2020,0.825
"Ghana","GHA",2021,0.75
"Ghana","GHA",2022,0.675
"Grenada","GRD",2019,0.925
"Guatemala","GTM",2015,0.225
"Guatemala","GTM",2016,0.4
"Guatemala","GTM",2017,0.8
"Guatemala","GTM",2018,0.9
"Guatemala","GTM",2020,0.375
"Guatemala","GTM",2021,0.45
"Guatemala","GTM",2022,0.7
"Guyana","GUY",2019,0.6
"Haiti","HTI",2019,0.5
"Hungary","HUN",2020,0.75
"Hungary","HUN",2021,0.875
"Hungary","HUN",2022,0.9
"India","IND",2015,0.25
"India","IND",2018,0.925
"India","IND",2019,1
"India","IND",2020,1
"Indonesia","IDN",2018,0
"Indonesia","IDN",2019,0.825
"Indonesia","IDN",2020,0.875
"Indonesia","IDN",2021,0.975
"Iraq","IRQ",2018,0.85
"Ireland","IRL",2015,0.425
"Ireland","IRL",2016,0.425
"Ireland","IRL",2017,0.4
"Italy","ITA",2018,0.4
"Italy","ITA",2021,0.4
"Italy","ITA",2022,0.575
"Jamaica","JAM",2015,0.575
"Jamaica","JAM",2016,0.575
"Jamaica","JAM",2017,0.575
"Jamaica","JAM",2018,0.575
"Jamaica","JAM",2019,0.65
"Jamaica","JAM",2020,0.725
"Jamaica","JAM",2021,0.725
"Jamaica","JAM",2022,0.925
"Japan","JPN",2015,1
"Japan","JPN",2016,1
"Japan","JPN",2017,1
"Japan","JPN",2018,1
"Japan","JPN",2019,1
"Japan","JPN",2020,1
"Japan","JPN",2021,1
"Japan","JPN",2022,1
"Jordan","JOR",2015,0
"Jordan","JOR",2018,0
"Jordan","JOR",2019,0.875
"Jordan","JOR",2021,0.775
"Jordan","JOR",2022,0.875
"Kazakhstan","KAZ",2017,0.875
"Kazakhstan","KAZ",2018,0.85
"Kazakhstan","KAZ",2019,0.825
"Kazakhstan","KAZ",2020,0.775
"Kazakhstan","KAZ",2021,0.775
"Kenya","KEN",2019,0.9
"Kiribati","KIR",2015,0.4
"Kiribati","KIR",2016,0.4
"Kiribati","KIR",2017,0.4
"Kiribati","KIR",2018,0.4
"Kiribati","KIR",2019,0.9
"Kiribati","KIR",2020,0.925
"Kiribati","KIR",2021,0.925
"Kuwait","KWT",2015,0.5
"Kuwait","KWT",2016,0.5
"Kuwait","KWT",2017,0.5
"Kyrgyzstan","KGZ",2015,0.525
"Kyrgyzstan","KGZ",2016,0.625
"Kyrgyzstan","KGZ",2017,0.825
"Kyrgyzstan","KGZ",2018,0.925
"Kyrgyzstan","KGZ",2019,0.9
"Lao People's Democratic Republic","LAO",2021,0.025
"Lebanon","LBN",2017,0
"Lebanon","LBN",2018,0.225
"Lebanon","LBN",2019,0.65
"Liberia","LBR",2020,0.975
"Lithuania","LTU",2020,0.625
"Lithuania","LTU",2021,0.7
"Malawi","MWI",2015,0.85
"Malawi","MWI",2016,0.825
"Malawi","MWI",2017,0.825
"Malawi","MWI",2018,0.85
"Malawi","MWI",2019,0.925
"Malawi","MWI",2020,0.975
"Malawi","MWI",2022,0.1
"Malaysia","MYS",2015,0.15
"Malaysia","MYS",2016,0.2
"Malaysia","MYS",2017,0.25
"Malaysia","MYS",2018,0.25
"Malaysia","MYS",2019,0.5
"Malaysia","MYS",2020,0.65
"Malaysia","MYS",2021,0.7
"Maldives","MDV",2017,0
"Marshall Islands","MHL",2015,0.775
"Marshall Islands","MHL",2016,0.775
"Marshall Islands","MHL",2017,0.775
"Marshall Islands","MHL",2018,0.775
"Marshall Islands","MHL",2019,0
"Marshall Islands","MHL",2020,0
"Mauritius","MUS",2015,0
"Mauritius","MUS",2016,0
"Mauritius","MUS",2017,0
"Mauritius","MUS",2018,0
"Mauritius","MUS",2019,0
"Mauritius","MUS",2020,0.975
"Mauritius","MUS",2021,0.975
"Mauritius","MUS",2022,0.975
"Mexico","MEX",2015,0.9
"Mexico","MEX",2016,0.9
"Mexico","MEX",2017,0.9
"Mexico","MEX",2018,0.925
"Mexico","MEX",2019,0.925
"Mexico","MEX",2020,0.925
"Mexico","MEX",2021,0.9
"Mexico","MEX",2022,0.775
"Micronesia","FSM",2016,0.5
"Micronesia","FSM",2017,0.475
"Micronesia","FSM",2018,0.675
"Micronesia","FSM",2019,0.65
"Micronesia","FSM",2020,0.575
"Micronesia","FSM",2021,0.425
"Monaco","MCO",2017,0.6
"Monaco","MCO",2018,0.6
"Mongolia","MNG",2016,0
"Mongolia","MNG",2017,0.675
"Mongolia","MNG",2018,0.725
"Mongolia","MNG",2019,1
"Mongolia","MNG",2020,1
"Mongolia","MNG",2021,1
"Montenegro","MNE",2018,0.775
"Montenegro","MNE",2019,0.775
"Montenegro","MNE",2020,0.775
"Montenegro","MNE",2021,0.775
"Montenegro","MNE",2022,0.775
"Morocco","MAR",2017,0.05
"Morocco","MAR",2018,0.6
"Morocco","MAR",2019,0.7
"Morocco","MAR",2020,0.725
"Morocco","MAR",2021,0.75
"Morocco","MAR",2022,0.75
"Mozambique","MOZ",2017,0.675
"Myanmar","MMR",2015,0.475
"Myanmar","MMR",2016,0.55
"Myanmar","MMR",2017,0.7
"Myanmar","MMR",2021,0.05
"Namibia","NAM",2015,0.25
"Namibia","NAM",2016,0.5
"Namibia","NAM",2017,1
"Namibia","NAM",2018,0.5
"Namibia","NAM",2019,0.575
"Namibia","NAM",2020,0.775
"Namibia","NAM",2021,0.925
"Namibia","NAM",2022,0.975
"Nauru","NRU",2015,0.525
"Nauru","NRU",2016,0.625
"Nauru","NRU",2017,0.55
"Nauru","NRU",2018,0.55
"Nauru","NRU",2019,0.55
"Nauru","NRU",2020,0.6
"Nauru","NRU",2021,0.6
"Nauru","NRU",2022,0.55
"Nepal","NPL",2015,0.05
"Nepal","NPL",2016,0.05
"Nepal","NPL",2017,0.05
"Nepal","NPL",2018,0.375
"Nepal","NPL",2019,0.75
"Nepal","NPL",2022,0.075
"Netherlands (Kingdom of the)","NLD",2017,0.9
"New Zealand","NZL",2015,0.875
"New Zealand","NZL",2016,0.875
"New Zealand","NZL",2017,0.875
"New Zealand","NZL",2018,0.875
"New Zealand","NZL",2019,0.875
"New Zealand","NZL",2020,0.875
"New Zealand","NZL",2021,0.9
"New Zealand","NZL",2022,0.9
"Niger","NER",2015,0.25
"Niger","NER",2016,0.25
"Niger","NER",2017,0.25
"Niger","NER",2018,0.325
"Norway","NOR",2015,0.975
"Norway","NOR",2016,0.975
"Norway","NOR",2017,0.975
"Norway","NOR",2018,0.975
"Norway","NOR",2019,0.975
"Pakistan","PAK",2015,0.425
"Pakistan","PAK",2016,0.425
"Pakistan","PAK",2017,0.425
"Pakistan","PAK",2018,0.425
"Pakistan","PAK",2019,0.8
"Pakistan","PAK",2020,0.8
"Palau","PLW",2020,0.725
"Palau","PLW",2021,0.725
"Panama","PAN",2019,0.275
"Papua New Guinea","PNG",2015,0
"Papua New Guinea","PNG",2016,0
"Papua New Guinea","PNG",2017,0.8
"Papua New Guinea","PNG",2018,0.775
"Papua New Guinea","PNG",2019,0.775
"Papua New Guinea","PNG",2020,0.775
"Paraguay","PRY",2018,0.6
"Peru","PER",2017,0.75
"Peru","PER",2018,0.75
"Peru","PER",2019,0.85
"Peru","PER",2020,1
"Peru","PER",2021,1
"Philippines","PHL",2018,0.45
"Philippines","PHL",2019,0.65
"Philippines","PHL",2020,0.725
"Philippines","PHL",2021,1
"Philippines","PHL",2022,1
"Poland","POL",2015,0.8
"Poland","POL",2016,0.8
"Poland","POL",2017,0.8
"Poland","POL",2018,0.85
"Poland","POL",2019,0.85
"Poland","POL",2020,0.85
"Poland","POL",2021,0.875
"Poland","POL",2022,0.875
"Portugal","PRT",2015,0.35
"Portugal","PRT",2016,0.6
"Portugal","PRT",2017,0.9
"Portugal","PRT",2018,0.9
"Portugal","PRT",2019,0.9
"Portugal","PRT",2020,0.9
"Portugal","PRT",2021,0.9
"Portugal","PRT",2022,0.925
"Qatar","QAT",2015,1
"Qatar","QAT",2016,1
"Qatar","QAT",2017,1
"Qatar","QAT",2018,1
"Qatar","QAT",2019,1
"Qatar","QAT",2020,1
"Qatar","QAT",2021,1
"Qatar","QAT",2022,1
"Republic of Korea","KOR",2015,0.95
"Republic of Korea","KOR",2016,0.95
"Republic of Korea","KOR",2017,0.95
"Republic of Korea","KOR",2018,0.95
"Republic of Korea","KOR",2019,1
"Republic of Korea","KOR",2020,1
"Republic of Korea","KOR",2021,1
"Romania","ROU",2019,0
"Russian Federation","RUS",2015,0.725
"Russian Federation","RUS",2016,0.75
"Russian Federation","RUS",2017,0.775
"Russian Federation","RUS",2018,0.8
"Russian Federation","RUS",2019,0.825
"Russian Federation","RUS",2020,0.825
"Russian Federation","RUS",2021,0.85
"Russian Federation","RUS",2022,0.925
"Saint Lucia","LCA",2019,0.825
"Saint Vincent and the Grenadines","VCT",2019,0.525
"Samoa","WSM",2017,0.525
"Samoa","WSM",2018,0.675
"Samoa","WSM",2019,0.7
"Samoa","WSM",2020,0.725
"Samoa","WSM",2021,0.725
"Samoa","WSM",2022,0.05
"Saudi Arabia","SAU",2015,0
"Saudi Arabia","SAU",2016,0
"Saudi Arabia","SAU",2017,0
"Saudi Arabia","SAU",2018,0
"Saudi Arabia","SAU",2019,1
"Saudi Arabia","SAU",2020,1
"Saudi Arabia","SAU",2021,0.05
"Serbia","SRB",2017,0.675
"Serbia","SRB",2018,0.025
"Serbia","SRB",2022,0.325
"Slovakia","SVK",2017,0.375
"Slovenia","SVN",2018,0.65
"Slovenia","SVN",2019,0.65
"Slovenia","SVN",2020,0.65
"Slovenia","SVN",2021,0.65
"Slovenia","SVN",2022,0.6
"Solomon Islands","SLB",2015,0.575
"Solomon Islands","SLB",2016,0.475
"Solomon Islands","SLB",2017,0.425
"Solomon Islands","SLB",2018,0.525
"Solomon Islands","SLB",2019,0.05
"Solomon Islands","SLB",2020,0.775
"Solomon Islands","SLB",2021,0.725
"Solomon Islands","SLB",2022,0.175
"Somalia","SOM",2017,0.75
"Somalia","SOM",2018,0.75
"South Africa","ZAF",2015,0.425
"South Africa","ZAF",2016,0.425
"South Africa","ZAF",2017,0.525
"South Africa","ZAF",2020,0.475
"Sri Lanka","LKA",2015,0.1
"Sri Lanka","LKA",2016,0.05
"Sri Lanka","LKA",2020,0.925
"Sudan","SDN",2015,0.225
"Sudan","SDN",2018,0.2
"Sudan","SDN",2019,0.55
"Sweden","SWE",2016,0
"Sweden","SWE",2017,0
"Sweden","SWE",2019,0
"Switzerland","CHE",2016,0
"Switzerland","CHE",2017,0.75
"Switzerland","CHE",2018,0.75
"Switzerland","CHE",2019,0.75
"Switzerland","CHE",2020,0.7
"Switzerland","CHE",2021,0.75
"Switzerland","CHE",2022,0.75
"Tajikistan","TJK",2015,0.2
"Tajikistan","TJK",2016,0.2
"Tajikistan","TJK",2017,0.75
"Tajikistan","TJK",2018,1
"Tajikistan","TJK",2019,1
"Tajikistan","TJK",2020,1
"Thailand","THA",2015,0.6
"Thailand","THA",2016,0.6
"Thailand","THA",2017,0.575
"Thailand","THA",2018,0.575
"Thailand","THA",2019,0.575
"Thailand","THA",2020,0.675
"Togo","TGO",2016,0.425
"Togo","TGO",2017,0.45
"Togo","TGO",2018,0.45
"Togo","TGO",2019,0.5
"Togo","TGO",2020,0.55
"Tonga","TON",2019,0.275
"Tonga","TON",2020,0.475
"Tonga","TON",2021,0.5
"Tonga","TON",2022,0.5
"Trinidad and Tobago","TTO",2015,0.25
"Trinidad and Tobago","TTO",2016,0.5
"Trinidad and Tobago","TTO",2017,0.5
"Trinidad and Tobago","TTO",2018,0.625
"Trinidad and Tobago","TTO",2019,0.75
"Trinidad and Tobago","TTO",2020,0.75
"Turkey","TUR",2015,0
"Turkey","TUR",2017,0
"Turkmenistan","TKM",2019,0.75
"Tuvalu","TUV",2016,0.1
"Tuvalu","TUV",2017,0.175
"Tuvalu","TUV",2018,0.175
"Tuvalu","TUV",2019,0.25
"Tuvalu","TUV",2020,0.3
"Tuvalu","TUV",2021,0.45
"Tuvalu","TUV",2022,0.65
"Uganda","UGA",2017,0.575
"Uganda","UGA",2019,0.7
"Uganda","UGA",2022,0.425
"Ukraine","UKR",2015,0.55
"Ukraine","UKR",2016,0.575
"Ukraine","UKR",2017,0.575
"Ukraine","UKR",2018,0.5
"Ukraine","UKR",2019,0.525
"Ukraine","UKR",2020,0.575
"Ukraine","UKR",2021,0.525
"Ukraine","UKR",2022,0.525
"United Arab Emirates","ARE",2019,0.275
"United Arab Emirates","ARE",2020,0.75
"United Kingdom of Great Britain and Northern Ireland","GBR",2015,1
"United Kingdom of Great Britain and Northern Ireland","GBR",2018,1
"United Kingdom of Great Britain and Northern Ireland","GBR",2019,1
"United Kingdom of Great Britain and Northern Ireland","GBR",2020,1
"United Kingdom of Great Britain and Northern Ireland","GBR",2021,1
"United Republic of Tanzania","TZA",2015,0.5
"United Republic of Tanzania","TZA",2016,0.6
"United Republic of Tanzania","TZA",2017,0.6
"United Republic of Tanzania","TZA",2018,0.65
"United States of America","USA",2015,0.9
"United States of America","USA",2016,0.9
"United States of America","USA",2017,0.9
"United States of America","USA",2018,0.75
"United States of America","USA",2019,0.75
"United States of America","USA",2020,0.75
"United States of America","USA",2021,0.8
"Uruguay","URY",2017,0
"Uruguay","URY",2020,0.6
"Uzbekistan","UZB",2019,1
"Uzbekistan","UZB",2020,1
"Uzbekistan","UZB",2021,1
"Vanuatu","VUT",2015,0
"Vanuatu","VUT",2016,0.25
"Vanuatu","VUT",2017,0.125
"Vanuatu","VUT",2018,0.05
"Vanuatu","VUT",2019,0.225
"Vanuatu","VUT",2020,0.65
"Vanuatu","VUT",2021,0.6
"Zambia","ZMB",2015,0.425
"Zambia","ZMB",2018,0.25
"Zambia","ZMB",2019,0.4
"Zimbabwe","ZWE",2017,0.475
"Zimbabwe","ZWE",2018,0.625
"Zimbabwe","ZWE",2019,0.775
"Zimbabwe","ZWE",2020,0.75
"Zimbabwe","ZWE",2021,0.7
"Zimbabwe","ZWE",2022,0.8
