"Country","...2","...3","year","value"
"Portugal","Portugal","PRT",2021,2
"Russia","Russian Federation","RUS",2020,2
"Rwanda","Rwanda","RWA",2024,2
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","VCT",2013,2
"Samoa","Samoa","WSM",2020,2
"San Marino","San Marino","SMR",2021,2
"Sao Tome and Principe","Sao Tome and Principe","STP",2022,2
"Saudi Arabia","Saudi Arabia","SAU",2019,2
"Senegal","Senegal","SEN",2019,2
"Seychelles","Seychelles","SYC",2022,2
"Sierra Leone","Sierra Leone","SLE",2021,2
"Slovenia","Slovenia","SVN",2016,2
"Solomon Islands","Solomon Islands","SLB",2016,2
"Somalia","Somalia","SOM",2021,2
"South Africa","South Africa","ZAF",2020,2
"South Sudan","South Sudan","SSD",2017,2
"Spain","Spain","ESP",2024,1
"Suriname","Suriname","SUR",2019,2
"Sweden","Sweden","SWE",2021,1
"Switzerland","Switzerland","CHE",2019,2
"Syria","Syrian Arab Republic","SYR",2020,2
"Tajikistan","Tajikistan","TJK",2021,2
"Thailand","Thailand","THA",2021,2
"Timor-Leste","Timor-Leste","TLS",2011,2
"Togo","Togo","TGO",2023,2
"Tonga","Tonga","TON",2015,2
"Turkey","Turkey","TUR",2024,2
"Tuvalu","Tuvalu","TUV",2020,2
"Uganda","Uganda","UGA",2020,2
"Ukraine","Ukraine","UKR",2022,1
"United Kingdom","United Kingdom of Great Britain and Northern Ireland","GBR",2024,2
"United States","United States of America","USA",2018,2
"Vanuatu","Vanuatu","VUT",2022,2
"Venezuela","Venezuela (Bolivarian Republic of)","VEN",2015,2
"Vietnam","Vietnam","VNM",2016,2
"Zambia","Zambia","ZMB",2022,2
